DATE,DTWEXB
1/1/2007,103.5235
1/1/2008,99.824
1/1/2009,105.5648
1/1/2010,101.7998
1/1/2011,97.0631
1/1/2012,99.7971
1/1/2013,100.9016
1/1/2014,103.9888
1/1/2015,117.1017
1/1/2016,122.3924
