Date,"Gold, US$/oz",Ounces,Tonnes,Value (USD),USA,Canada,Germany,Italy,Liechtenstein,Russia,Switzerland,UK,China,India,Japan,Thailand,Australia,South Africa,Turkey,UAE
4/29/2016,1285.65," 62,922,393 "," 1,977.51 "," $80,896,175,068 ",1076.46583,75.98431,126.44341,0.52470,0.69998,0.09595,258.49726,330.64803,25.91928,25.88851,11.59173,0.63205,8.70765,34.89639,0.51920,
5/31/2016,1212.10," 65,918,275 "," 2,071.93 "," $79,899,541,251 ",1151.78726,75.13049,132.82226,0.78532,0.69386,0.09663,258.75351,338.01911,29.83293,26.43119,12.29512,0.59901,8.74944,35.41858,0.51920,
6/30/2016,1320.75," 69,976,974 "," 2,194.66 "," $92,422,088,281 ",1244.80077,75.50463,139.85973,0.95345,0.69919,0.10743,257.41802,361.22990,31.48486,25.33349,11.28367,0.62914,9.04093,35.79396,0.51920,
7/29/2016,1342.00," 72,406,585 "," 2,269.92 "," $97,169,637,509 ",1264.61379,75.97802,149.28040,0.99145,0.72458,0.10689,257.92005,393.67441,41.83176,25.20078,11.10500,0.59692,9.06837,38.30474,0.51920,
8/31/2016,1309.25," 73,383,427 "," 2,300.81 "," $96,077,251,337 ",1257.15916,75.99540,156.10394,2.56122,0.73243,0.10798,262.59832,416.61355,42.04583,24.72927,11.38278,0.59120,9.50966,40.16079,0.51920,
9/30/2016,1322.50," 74,526,618 "," 2,338.85 "," $98,561,452,343 ",1263.32404,76.26237,174.88038,5.14280,0.73447,0.11896,264.06125,425.64536,43.43132,24.84660,11.26874,0.39918,9.61082,38.60568,0.51920,
10/31/2016,1272.00," 75,348,279 "," 2,364.13 "," $95,843,011,454 ",1263.05567,76.23275,173.77805,6.63460,0.72960,0.11857,265.13437,443.74887,49.05113,24.67229,11.71612,0.40123,9.65994,38.65431,0.53760,
11/30/2016,1178.10," 71,681,587 "," 2,250.47 "," $84,448,077,267 ",1175.86484,76.16286,172.32328,6.23895,0.72768,0.13030,268.63807,424.16648,48.23445,20.34946,12.64995,0.13307,9.83859,34.49296,0.51920,
12/30/2016,1145.90," 69,619,526 "," 2,165.41 "," $79,777,014,972 ",1105.74463,75.76580,177.58141,6.00512,0.73800,0.14174,267.10164,399.13198,55.60788,20.63570,12.96088,0.14019,9.63472,33.70058,0.51903,
1/31/2017,1212.80," 69,951,218 "," 2,175.73 "," $84,836,836,590 ",1087.53562,75.88535,196.76290,3.51107,0.73123,0.13845,268.89642,409.97801,56.32239,20.22580,12.24989,0.13866,9.55868,33.27239,0.51920,
2/28/2017,1255.60," 72,799,427 "," 2,264.32 "," $91,406,960,463 ",1131.46133,75.76288,221.41031,3.44940,0.73885,0.16143,269.40969,427.04552,56.37504,19.69827,11.83233,0.13633,10.22646,36.04454,0.56290,
3/31/2017,1244.85," 72,776,411 "," 2,263.58 "," $90,595,715,377 ",1120.34902,75.53602,228.92854,3.48700,1.04826,0.16139,269.26566,436.94556,49.48181,19.44843,11.93451,0.13305,10.35614,35.94116,0.56502,
4/28/2017,1266.45," 73,507,008 "," 2,286.32 "," $93,092,950,807 ",1145.62911,75.43151,231.64654,3.89969,1.07775,0.16161,271.30078,434.54203,44.24750,19.44953,11.73096,0.13281,10.42513,36.10964,0.53894,
5/31/2017,1266.20," 73,874,459 "," 2,297.75 "," $93,539,839,640 ",1139.04466,75.31886,244.67660,4.04338,0.78149,0.18317,274.80344,439.52752,41.99501,19.32084,11.73327,0.13257,11.05097,34.57240,0.56831,
6/30/2017,1242.25," 74,777,787 "," 2,325.85 "," $92,892,706,515 ",1151.04728,75.39437,248.09348,4.14158,0.78057,0.18360,275.58331,445.20213,47.41366,19.37496,11.95948,0.13102,11.29986,34.67882,0.56504,
7/31/2017,1267.55," 72,595,339 "," 2,257.97 "," $92,018,221,754 ",1090.40874,76.71000,251.99629,4.07826,0.84435,0.18320,275.17049,435.07086,47.43927,18.99555,11.72078,0.13054,10.73957,33.91303,0.56650,
8/31/2017,1311.75," 73,736,482 "," 2,293.46 "," $96,723,830,727 ",1121.89674,76.03536,252.14310,4.14980,0.83582,0.18247,274.74056,443.00000,45.56305,18.53791,11.32584,0.12805,11.13579,33.31416,0.47230,
9/29/2017,1283.10," 75,379,476 "," 2,344.56 "," $96,719,405,442 ",1180.82624,76.15196,244.07203,3.99151,0.83228,0.19476,273.46730,444.44143,44.53502,18.67621,11.95728,0.12338,11.67611,33.14447,0.47381,
10/31/2017,1270.15," 75,492,145 "," 2,348.07 "," $95,886,347,911 ",1173.24199,76.00047,246.90920,5.91685,0.82955,0.19464,270.89538,453.50220,45.09413,18.71288,12.07919,0.12306,11.67021,32.46885,0.42955,
11/30/2017,1280.20," 75,786,202 "," 2,357.21 "," $97,021,495,682 ",1168.87355,74.94401,252.87226,6.18881,0.84143,0.20505,276.80605,457.13930,44.92083,18.63775,11.98437,0.12461,11.62674,31.62222,0.42739,
