Country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
India,64.7,63.5,53.5,82.6,80,106.3,96.3,70.8,66.6,45.8
Other,3.7,6.2,5.4,5.7,7.8,7.1,7.5,6.6,6.8,6.3
