Date,Open,High,Low,Close,Adj Close,Volume
1/1/2007,12.16,12.83,9.87,10.42,10.42,0
2/1/2007,10.32,19.01,9.7,15.42,15.42,0
3/1/2007,17.76,21.25,11.21,14.64,14.64,0
4/1/2007,14.91,15.46,11.46,14.22,14.22,0
5/1/2007,14.1,14.6,12.08,13.05,13.05,0
6/1/2007,12.77,18.98,12.43,16.23,16.23,0
7/1/2007,16.48,24.17,14.67,23.52,23.52,0
8/1/2007,23.709999,37.5,19.33,23.379999,23.379999,0
9/1/2007,21.93,28.82,16.91,18,18,0
10/1/2007,18.440001,24.15,16.08,18.530001,18.530001,0
11/1/2007,19.889999,31.09,17.379999,22.870001,22.870001,0
12/1/2007,23.59,24.860001,18.280001,22.5,22.5,0
1/1/2008,22.58,37.57,22.110001,26.200001,26.200001,0
2/1/2008,25.66,29.700001,21.639999,26.540001,26.540001,0
3/1/2008,27.540001,35.599998,22.290001,25.610001,25.610001,0
4/1/2008,25.610001,25.610001,19.209999,20.790001,20.790001,0
5/1/2008,20.780001,20.950001,15.82,17.83,17.83,0
6/1/2008,17.83,24.559999,17.83,23.950001,23.950001,0
7/1/2008,25.139999,30.809999,20.73,22.940001,22.940001,0
8/1/2008,22.66,23.860001,18.639999,20.65,20.65,0
9/1/2008,20.65,48.400002,20.469999,39.389999,39.389999,0
10/1/2008,39.389999,89.529999,39.389999,59.889999,59.889999,0
11/1/2008,60.169998,81.480003,44.25,55.279999,55.279999,0
12/1/2008,60.470001,68.599998,37.959999,40,40,0
1/1/2009,39.580002,57.360001,36.880001,44.84,44.84,0
2/1/2009,49.419998,53.16,40.73,46.349998,46.349998,0
3/1/2009,49.959999,53.25,38.790001,44.139999,44.139999,0
4/1/2009,45.419998,45.599998,33.68,36.5,36.5,0
5/1/2009,36.5,36.880001,26.57,28.92,28.92,0
6/1/2009,28.700001,32.77,25.02,26.35,26.35,0
7/1/2009,25.73,33.049999,23,25.92,25.92,0
8/1/2009,25.92,28.389999,23.68,26.01,26.01,0
